index,latitude,longitude,primary_fuel
2,31.67,65.795,Solar
22275,50.7807,-4.4415,Solar
22281,53.8085,-0.3158,Solar
22282,53.1813,-0.4736,Solar
22283,51.1252,-3.9249,Solar
22284,51.5885,-1.9362,Solar
22291,52.6452,1.2582,Solar
22292,52.2506,-1.5558,Solar
22298,50.8523,-3.7396,Solar
22302,51.935,-2.0884,Solar
22310,53.0318,-3.0594,Solar
22312,51.8539,-1.1318,Solar
22313,51.2802,-2.214,Solar
22314,50.8196,-0.5449,Solar
22322,52.1314,0.5172,Solar
22328,53.2333,-4.4047,Solar
22330,51.7128,-4.1781,Solar
22331,51.6866,-3.9582,Solar
22333,51.6638,-2.8365,Solar
22334,52.1542,-0.8107,Solar
22335,51.7478,-0.8948,Solar
22336,51.7483,-0.8963,Solar
22271,51.9431,0.9296,Solar
22269,51.345,-2.8611,Solar
22268,50.9818,-2.4287,Solar
22264,50.7779,-2.3943,Solar
22205,51.0827,-1.1511,Solar
22207,52.5654,-1.13,Solar
22208,52.5497,-0.1479,Solar
22214,52.0782,0.0489,Solar
22216,50.3641,-3.6421,Solar
22222,52.0879,-1.6673,Solar
22225,52.7604,-1.7443,Solar
22227,51.1461,-4.1377,Solar
22229,51.2746,-2.1899,Solar
22234,54.6326,-1.2684,Solar
22337,52.7984,1.3979,Solar
22235,51.8607,1.005,Solar
22241,19.2905,-81.2453,Solar
22243,50.4835,-4.7335,Solar
22244,53.1787,-4.4148,Solar
22246,50.4115,-4.7786,Solar
22248,53.2398,-1.2544,Solar
22251,54.6688,-5.9426,Solar
22252,51.0189,-3.6846,Solar
22258,51.1514,-1.7379,Solar
22260,50.7127,-2.1654,Solar
22263,50.7756,-2.3952,Solar
22240,51.3581,0.6889,Solar
22204,50.9443,-1.2081,Solar
22351,52.6732,0.6271,Solar
22355,50.3609,-4.9461,Solar
22406,53.8085,-0.3158,Solar
22408,50.3513,-4.8759,Solar
22409,52.8048,1.3987,Solar
22412,50.3316,-4.9292,Solar
22425,53.7066,-2.7814,Solar
22429,51.4936,-2.2174,Solar
22430,51.6491,-1.7907,Solar
22435,50.8878,-2.5962,Solar
22440,50.2863,-5.1209,Solar
22442,51.7942,-3.9437,Solar
22447,50.9494,-1.3079,Solar
22448,51.6705,-1.0597,Solar
22449,52.7398,0.4204,Solar
22450,51.9104,0.9938,Solar
22452,51.613,-1.8167,Solar
22454,51.6423,-4.9484,Solar
22455,50.7918,-1.8612,Solar
22456,50.7959,-1.8563,Solar
22457,50.8032,-1.8644,Solar
22459,50.8859,-2.9434,Solar
22460,52.8244,-2.8096,Solar
22405,50.3833,-5.1111,Solar
22401,51.1312,-3.9082,Solar
22399,51.1781,0.3596,Solar
22398,50.7035,-4.4906,Solar
22356,52.2135,-1.7372,Solar
22357,52.9722,-0.3555,Solar
22362,52.4514,-0.137,Solar
22363,52.0796,0.002,Solar
22370,52.1024,-1.9201,Solar
22371,50.6473,-3.3825,Solar
22372,51.3626,-2.0947,Solar
22373,50.7904,-4.4014,Solar
22374,51.86,-0.4633,Solar
22375,51.8564,-0.4686,Solar
22354,50.7613,-3.4208,Solar
22376,50.8095,-1.3599,Solar
22378,51.8279,-4.6334,Solar
22379,51.5401,-3.6997,Solar
22381,57.5603,-2.3723,Solar
22383,57.3086,-2.8272,Solar
22384,57.3081,-2.8238,Solar
22385,52.2104,-0.2071,Solar
22390,50.5072,-4.326,Solar
22393,50.8378,-2.2282,Solar
22396,53.0099,-0.055,Solar
22397,52.1721,0.0673,Solar
22377,51.5377,-3.7163,Solar
22463,50.735,-1.302,Solar
22201,51.837,0.7886,Solar
22197,53.1271,-1.042,Solar
21975,52.1234,-4.5632,Solar
21987,51.5238,-3.4252,Solar
21992,52.4746,0.9501,Solar
21995,52.4511,0.0379,Solar
21996,52.6395,-2.2507,Solar
21998,51.5002,-3.1181,Solar
21999,55.8787,-3.6482,Solar
22000,54.5485,-1.5739,Solar
22001,53.2894,-3.0322,Solar
22002,51.0576,-2.8652,Solar
22019,51.5224,-2.5266,Solar
22022,51.2112,-1.5364,Solar
22023,50.3502,-4.2498,Solar
22036,53.2479,-1.3464,Solar
22041,54.0223,-2.8228,Solar
22045,50.6711,-1.276,Solar
22047,52.7832,-0.9359,Solar
22048,52.7227,-1.4853,Solar
22049,51.2557,-2.9041,Solar
22050,53.6208,-1.1602,Solar
22051,54.778,-3.3241,Solar
21974,51.7007,-3.9476,Solar
21972,52.3726,-0.1943,Solar
21971,52.3787,-0.1982,Solar
21970,51.1636,-1.5123,Solar
21906,48.2514,28.3341,Solar
21907,45.467,29.292,Solar
21910,45.036,33.931,Solar
21911,49.507,23.23,Solar
21912,48.785,28.06,Solar
21917,46.344,30.004,Solar
21918,48.751,27.313,Solar
21921,47.075,34.93,Solar
21922,47.645,31.89,Solar
21923,47.572,31.396,Solar
22054,52.4672,-2.3239,Solar
21925,47.495,33.538,Solar
21948,24.747,55.385,Solar
21949,24.765,55.37,Solar
21950,24.4345,54.6085,Solar
21952,23.5711,53.7143,Solar
21953,24.7652,55.3733,Solar
21961,54.9638,-6.493,Solar
21962,53.2062,-1.1968,Solar
21966,51.8992,-4.8665,Solar
21968,52.4193,-0.2366,Solar
21969,51.3187,0.9029,Solar
21947,24.759,55.383,Solar
22200,50.8338,-0.6061,Solar
22055,52.8817,-1.743,Solar
22067,52.5757,1.389,Solar
22131,51.4721,0.4234,Solar
22132,52.5614,-1.4184,Solar
22134,52.0701,-0.0423,Solar
22136,51.482,-2.165,Solar
22138,52.3163,0.4989,Solar
22140,50.9217,-4.0387,Solar
22145,50.7618,-1.6798,Solar
22150,50.8173,-1.9243,Solar
22153,50.7904,-2.9226,Solar
22168,50.5401,-4.7826,Solar
22171,53.5331,-2.376,Solar
22172,51.6055,-1.8987,Solar
22173,50.9335,0.1108,Solar
22174,53.105,-2.4728,Solar
22179,51.328,-1.1122,Solar
22181,51.5834,-3.3322,Solar
22182,50.856,0.1748,Solar
22191,50.4391,-3.7313,Solar
22192,51.4233,-3.2395,Solar
22195,50.8138,-0.6357,Solar
22196,53.142,-1.0252,Solar
22130,54.1751,-1.4955,Solar
22129,50.9461,-3.3141,Solar
22128,51.1539,-4.174,Solar
22125,52.6691,-2.1267,Solar
22068,53.1481,-1.387,Solar
22077,51.77,-2.447,Solar
22078,50.9319,-3.3459,Solar
22079,51.5996,-1.7429,Solar
22080,53.7709,-2.5782,Solar
22082,51.3202,0.4816,Solar
22083,51.7328,-1.1947,Solar
22086,52.0486,0.9444,Solar
22091,51.6094,-3.8295,Solar
22094,51.0483,-1.8335,Solar
22056,52.6131,-1.559,Solar
22095,50.7644,-0.7931,Solar
22100,54.5181,-6.0994,Solar
22101,54.5132,-6.0883,Solar
22102,50.3497,-4.037,Solar
22103,54.5716,-5.5692,Solar
22104,54.8839,-6.2536,Solar
22113,54.9592,-6.5147,Solar
22114,54.9985,-6.4404,Solar
22117,51.1147,-0.9782,Solar
22121,51.9392,1.1364,Solar
22122,53.3564,-0.9954,Solar
22099,56.143,-3.712,Solar
22464,52.3522,1.4737,Solar
22469,52.3027,-0.5253,Solar
22470,52.3021,-0.5196,Solar
22845,52.312,0.222,Solar
22847,51.8195,-4.9189,Solar
22851,52.9075,-4.334,Solar
22855,51.725,-4.2386,Solar
22858,51.0087,-1.3915,Solar
22859,52.9957,-2.7248,Solar
22860,50.6772,-1.2454,Solar
22862,53.2439,-0.4287,Solar
22864,51.055,-0.441,Solar
22865,53.9091,-3.0187,Solar
22867,53.256,-3.1392,Solar
22868,53.6201,-0.6947,Solar
22870,51.8395,-0.7395,Solar
22872,50.9428,-0.3223,Solar
22873,50.4796,-4.3783,Solar
22875,50.9429,-1.2027,Solar
22876,52.2794,0.3914,Solar
22877,54.5058,-6.1863,Solar
22879,50.8474,-0.7433,Solar
22882,52.9961,-0.5975,Solar
22884,50.29,-5.146,Solar
22844,52.9658,-0.0717,Solar
22843,53.4233,0.069,Solar
22840,53.7915,-2.6236,Solar
22839,53.7918,-2.6203,Solar
22768,51.3105,1.3389,Solar
22769,52.9001,-3.0152,Solar
22771,52.4584,-0.843,Solar
22781,51.9245,-0.6115,Solar
22783,53.2113,-0.8798,Solar
22787,50.8309,-3.7844,Solar
22789,52.434,1.6055,Solar
22790,52.4388,1.6059,Solar
22791,51.6051,-1.4003,Solar
22793,52.9481,-0.8477,Solar
22886,50.2917,-5.1392,Solar
22794,54.7005,-1.2898,Solar
22804,53.0152,-0.5214,Solar
22805,50.4118,-4.1823,Solar
22806,56.3677,-3.2771,Solar
22811,51.1076,-1.5302,Solar
22816,52.2502,0.3486,Solar
22818,51.794,-1.4264,Solar
22821,51.455,-0.695,Solar
22825,51.5641,0.3896,Solar
22828,51.6202,0.6974,Solar
22829,54.0521,-2.8783,Solar
22803,52.0665,-1.4658,Solar
22767,51.3157,1.3458,Solar
22887,50.3039,-5.1383,Solar
22890,50.8024,-4.2937,Solar
22982,51.9558,0.5797,Solar
22983,50.2887,-5.1967,Solar
22988,51.2667,1.2312,Solar
22990,50.711,-4.4233,Solar
22991,50.7131,-1.26,Solar
22992,51.5397,-2.5227,Solar
22993,52.746,0.0509,Solar
22994,51.0059,-3.2219,Solar
22996,53.0282,-0.8145,Solar
22998,52.9712,-0.7225,Solar
23001,52.7091,-2.4123,Solar
23003,51.3797,-1.1932,Solar
23009,50.7326,-3.3512,Solar
23010,50.8042,-4.3769,Solar
23013,51.8502,-0.6484,Solar
23014,52.1845,0.2699,Solar
23018,54.2859,-2.6851,Solar
23019,54.8476,-1.7367,Solar
23020,51.9119,1.1535,Solar
23040,51.0766,-3.2622,Solar
